{change}(nselect:0) 	 	 {digest}(nselect:0)
{change}(nselect:0) 	 	 {regress}(nselect:0)
{change}(nselect:0) 	 	 {foul}(nselect:0)
{change}(nselect:0) 	 	 {decalcify}(nselect:0)
{change}(nselect:0) 	 	 {industrialize, industrialise}(nselect:0)
{change}(nselect:0) 	 	 {decarboxylate}(nselect:0)
{change}(nselect:0) 	 	 {spot}(nselect:0)
{change}(nselect:0) 	 	 {receive, get, find, obtain, incur}(nselect:2)
{receive, get, find, obtain, incur}(nselect:2) 	 	 {take}(nselect:0)
{change}(nselect:0) 	 	 {acetylate, acetylize, acetylise}(nselect:0)
{change}(nselect:0) 	 	 {assume, acquire, adopt, take on, take}(nselect:0)
{change}(nselect:0) 	 	 {prim}(nselect:0)
