root(nselect:0) 	 	 Verbo(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:20) 	 	 {disputant, controversialist, eristic}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:20) 	 	 {engineer, applied scientist, technologist}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:20) 	 	 {entertainer}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:20) 	 	 {experimenter}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:20) 	 	 {expert}(nselect:0)
{expert}(nselect:0) 	 	 {authority}(nselect:0)
{authority}(nselect:0) 	 	 {connoisseur, cognoscente}(nselect:0)
{authority}(nselect:0) 	 	 {evaluator, judge}(nselect:0)
{authority}(nselect:0) 	 	 {high priest}(nselect:0)
{authority}(nselect:0) 	 	 {liturgist}(nselect:0)
{authority}(nselect:0) 	 	 {master, professional}(nselect:0)
{authority}(nselect:0) 	 	 {adviser, advisor, consultant}(nselect:2)
{adviser, advisor, consultant}(nselect:2) 	 	 {amicus curiae, friend of the court}(nselect:0)
{adviser, advisor, consultant}(nselect:2) 	 	 {backroom boy, brain truster}(nselect:0)
{adviser, advisor, consultant}(nselect:2) 	 	 {beauty consultant}(nselect:0)
{adviser, advisor, consultant}(nselect:2) 	 	 {counselor, counsellor}(nselect:0)
{adviser, advisor, consultant}(nselect:2) 	 	 {county agent, agricultural agent, extension agent}(nselect:0)
{adviser, advisor, consultant}(nselect:2) 	 	 {fashion consultant, fashionmonger}(nselect:0)
{adviser, advisor, consultant}(nselect:2) 	 	 {investment adviser, investment advisor}(nselect:0)
{adviser, advisor, consultant}(nselect:2) 	 	 {management consultant}(nselect:0)
{adviser, advisor, consultant}(nselect:2) 	 	 {media consultant, media guru}(nselect:0)
{adviser, advisor, consultant}(nselect:2) 	 	 {military adviser, military advisor}(nselect:0)
{adviser, advisor, consultant}(nselect:2) 	 	 {security consultant}(nselect:0)
{adviser, advisor, consultant}(nselect:2) 	 	 {starets}(nselect:0)
{adviser, advisor, consultant}(nselect:2) 	 	 {tipster, tout}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:20) 	 	 {face}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:20) 	 	 {individualist}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:20) 	 	 {inhabitant, habitant, dweller, denizen, indweller}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:20) 	 	 {native, indigen, indigene, aborigine, aboriginal}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:20) 	 	 {native}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:20) 	 	 {innocent, inexperienced person}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:20) 	 	 {intellectual, intellect}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:20) 	 	 {juvenile, juvenile person}(nselect:0)
{juvenile, juvenile person}(nselect:0) 	 	 {preteen, preteenager}(nselect:0)
{juvenile, juvenile person}(nselect:0) 	 	 {adolescent, stripling, teenager, teen}(nselect:0)
{juvenile, juvenile person}(nselect:0) 	 	 {ingenue}(nselect:0)
{juvenile, juvenile person}(nselect:0) 	 	 {young person, youth, younker, spring chicken}(nselect:0)
{juvenile, juvenile person}(nselect:0) 	 	 {child, kid, youngster, minor, shaver, nipper, small fry, tiddler, tike, tyke, fry, nestling}(nselect:3)
{child, kid, youngster, minor, shaver, nipper, small fry, tiddler, tike, tyke, fry, nestling}(nselect:3) 	 	 {bairn}(nselect:0)
{child, kid, youngster, minor, shaver, nipper, small fry, tiddler, tike, tyke, fry, nestling}(nselect:3) 	 	 {buster}(nselect:0)
{child, kid, youngster, minor, shaver, nipper, small fry, tiddler, tike, tyke, fry, nestling}(nselect:3) 	 	 {changeling}(nselect:0)
{child, kid, youngster, minor, shaver, nipper, small fry, tiddler, tike, tyke, fry, nestling}(nselect:3) 	 	 {child prodigy, infant prodigy, wonder child}(nselect:0)
